Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.002551,-0.066047,-0.0019357,0,0,0,0.14143,0.0001234,2.1995E-06,-1.7694E-06,8.3835E-05,1.5968E-06,7.7231E-05,0,0,0,0,0,0,package://handleft9183/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/base_link.STL,,01-1;02-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.0011554,-0.028574,2.6263E-07,0,0,0,0.0069755,1.9953E-06,-1.5666E-08,3.2534E-12,1.464E-07,3.34E-11,2.0272E-06,0,0,0,0,0,0,package://handleft9183/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link1.STL,,03-6,坐标系1,基准轴1,joint01,revolute,0.00629,-0.056236,0.02346,-0.034898,-0.00075929,-0.021745,base_link,0,0,1,0,0,0,0,,,,,,,,
Link2,-7.5135E-11,1.8729E-10,-0.011292,0,0,0,0.00030666,1.4483E-08,-2.6234E-14,-2.7451E-16,1.4449E-08,5.3125E-16,6.5358E-10,0,0,0,0,0,0,package://handleft9183/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link2.STL,,04-3,坐标系2,基准轴2,joint12,prismatic,0,-0.0507,0,1.5708,1.57,-3.1416,Link1,0,-6.0156E-05,-1,0,0,0,0,,,,,,,,
Link3,0.0030736,0.017402,-0.00089984,0,0,0,0.0042405,6.6215E-07,1.8442E-08,-1.3482E-12,2.1167E-07,1.4788E-11,6.9402E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handleft9183/meshes/Link3.STL,,05-1,坐标系3,基准轴3,joint23,revolute,-0.0009,0,-0.0244,-1.5708,0.021758,1.57,Link2,0,0,1,0,0,0,0,,,,,,,,
Link4,-0.0021753,0.019567,0.00305,0,0,0,0.0045682,7.6284E-07,-8.063E-08,-3.6667E-13,9.4308E-08,-1.5005E-13,7.8176E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link4.STL,,07-1,坐标系4,基准轴4,joint34,revolute,0.0067937,0.037509,-0.00395,0,0,0,Link3,0,0,-1,0,0,0,0,,,,,,,,
Link310,-0.0012971,0.011934,1.6351E-07,0,0,0,0.0042405,6.6215E-07,1.8442E-08,-1.3482E-12,2.1167E-07,1.4788E-11,6.9402E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link310.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handleft9183/meshes/Link310.STL,,05-1,坐标系5,基准轴5,joint03,revolute,0.00028533,-0.13674,0.026271,0.034907,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link5,-0.0039265,0.015726,0.00145,0,0,0,0.00031561,4.8649E-08,1.1992E-08,-2.3879E-23,3.789E-09,1.0023E-22,5.1996E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link5.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link5.STL,,06-1,坐标系6,基准轴6,joint05,revolute,-0.00546,-0.13197,0.024654,0.034907,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link410,0.0024585,0.024815,-0.00305,0,0,0,0.0045682,7.6284E-07,-8.063E-08,-3.6667E-13,9.4308E-08,-1.5005E-13,7.8176E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link410.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link410.STL,,07-1,坐标系7,基准轴7,joint54,revolute,-0.0079562,0.031614,0.0045,0,0,0,Link5,0,0,-1,0,0,0,0,,,,,,,,
Link11,0.0011554,0.028574,2.6228E-07,0,0,0,0.0069755,1.9953E-06,-1.5666E-08,-3.2708E-12,1.464E-07,-3.3369E-11,2.0272E-06,0,0,0,0,0,0,package://handleft9183/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link11.STL,,03-8,坐标系11,基准轴11,joint011,revolute,0.00629,-0.05655,0.00695,0,0,3.1198,base_link,0,0,1,0,0,0,0,,,,,,,,
Link12,7.5076E-12,1.3049E-10,-0.011292,0,0,0,0.00030666,1.4483E-08,-3.8563E-16,1.5065E-17,1.4449E-08,4.2368E-16,6.5358E-10,0,0,0,0,0,0,package://handleft9183/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link12.STL,,04-4,坐标系12,基准轴12,joint1112,prismatic,0,0.0507,0,1.5708,1.5708,0,Link11,0,0,-1,0,0,0,0,,,,,,,,
